id,mdlname
281520,BHIMADOLE
281536,BHIMAVARAM
281502,BUTTAIGUDEM
281524,DENDULURU
281514,DEVARAPALLI
281515,CHAGALLU
281544,ELAMANCHILI
281523,ELURU
281509,CHINTALAPUDI
281505,GOPALAPURAM
281531,IRAGAVARAM
281512,DWARAKATIRUMALA
281532,ATTILI
281541,ACHANTA
281501,JEELUGUMILLI
281535,KALLA
281526,GANAPAVARAM
281511,KAMAVARAPUKOTA
281516,KOVVUR
281534,AKIVEEDU
281507,JANGAREDDYGUDEM
281510,LINGAPALEM
281506,KOYYALAGUDEM
281545,NARSAPURAM
281548,KUKUNOOR
281546,MOGALTUR
281513,NALLAJERLA
281517,NIDADAVOLE
281525,NIDAMARRU
281543,PALACOLE
281537,PALAKODERU
281522,PEDAPADU
281521,PEDAVEGI
281527,PENTAPADU
281540,PENUGONDA
281542,PODURU
281508,T.NARSAPURAM
281518,TADEPALLI GUDEM
281504,TALLAPUDI
281528,TANUKU
281533,UNDI
281503,POLAVARAM
281529,UNDRAJAVARAM
281519,UNGUTURU
281530,PERAVALI
281538,VEERAVASARAM
281547,VELAIRPADU
281539,PENUMANTRA
